Epoch,Ocemotion F1,Ocnli F1,Tnews F1,Train Loss,Train Time,Valid Loss,Valid F1,Valid Time
1,0.4230248885042328,0.6635115493167978,0.511418870931227,7874.320203989744,1:10:11,131.797813475132,0.5326517695840859,0:00:53
2,0.44487881526370554,0.6684881493832201,0.521292886187409,6616.015088990331,1:10:02,130.17389661073685,0.5448866169447782,0:00:54
3,0.4817421280528741,0.6994793321077131,0.5413622579790224,5794.290321454406,1:09:54,127.03795826435089,0.5741945727132033,0:00:53
4,0.4504763600089335,0.6922780042522122,0.5347287852252042,4890.879088096321,1:09:59,131.2493653446436,0.5591610498287833,0:00:53
5,0.4728730526074814,0.7098272546372458,0.5180659330370185,3945.557413801551,1:10:05,141.22511141002178,0.5669220800939153,0:00:54
6,0.43703662493255235,0.6898440669761277,0.5473115752151857,3130.690438952297,1:09:44,161.11416372284293,0.5580640890412886,0:00:53
7,0.47229571148660954,0.6926796609892333,0.5475346345852709,2406.341829669196,1:10:14,171.0754933655262,0.5708366690203711,0:00:53
8,0.44461698610139144,0.7012011975474935,0.5594382499435752,1868.3739882314112,1:10:19,200.05500760674477,0.5684188111974867,0:00:53
9,0.44052383593142813,0.7012455842880186,0.5473555822436025,1459.4852862671833,1:12:01,222.7884443551302,0.5630416674876831,0:00:57
10,0.4519165338112396,0.6981310748147682,0.5509230238716307,1148.5308669713268,1:38:01,252.77210026979446,0.5669902108325462,0:01:06
,,,,,,,,